Area	Long	Lat
A	-122.1346523	38.95417023
A	-126.9411374	38.79711943
A	-125.1557876	35.40553653
A	-120.3917553	35.53166069
A	-122.1346523	38.95417023
B	-121.9573631	45.55750762
B	-127.8024644	45.3111827
B	-126.9494488	38.78837888
B	-122.1263585	38.93872128
B	-121.9573631	45.55750762
C	-122.0011862	45.55643955
C	-127.8082114	45.34293131
C	-128.3680537	48.24348942
C	-124.3713297	48.0917908
C	-122.0141357	45.81065876
D	-124.3706546	48.05234465
D	-124.1729269	48.86832174
D	-127.7647018	50.6542443
D	-126.3946363	51.43828086
D	-120.6422779	49.65141367
D	-121.9302511	45.73911888
D	-124.1172989	47
E	-128.3581637	48.19954165
E	-134.8748349	54.02535255
E	-129.3126116	55.82222555
E	-125.2818621	52.22897746
E	-127.9138508	50.66165057
E	-124.1405008	48.78977004
E	-124.3685984	48
F	-134.8844522	54.03544127
F	-142.3224762	58.44138899
F	-134.9931823	61.10706855
F	-130.3442018	58.89424888
F	-129.3343877	55.78468312
F	-134.6317682	54.10445101
G	-142.3272261	58.43635239
G	-149.2177387	58.73044743
G	-155.2777994	55.07697553
G	-161.1854698	53.59549004
G	-162.0424989	55.52209031
G	-161.2025987	55.73963982
G	-160.8308115	55.59
H	-161.9748805	55.50055598
H	-164.7616612	54.49030576
H	-170.8994863	52.74605301
H	-174.0064823	52.37885715
H	-175.8162532	57.5473256
H	-164.1455691	61.25547413
H	-154.9749633	60.68
