Study,Species,Age\Sex\Size_of_Predator,Sample_size,Sample_type,State\Province,Subregion,Region_code,Year_Start,Year_End,Months,Reference,Diet_data,Age\Size_of_prey,N_prey_items ,Count_type_(FO=frequency_of_occurrence\SSFO=split_sample_frequency_of_occurence\V=volume\M=model\O=feeding event\C=number_count),Percent_salmon,95_Percent_CIs,Percent_chinook ,95_ Percent_CIs,Anecdotal_chinook_abundance(if_species_mentioned\chinook_column_blank),Citation,URL,Comment,Double_count_(RefStudyNum(\s) 
1,Harbor Seal,M\F,14,scat sample,Washington,Puget Sound,D,1978,1979,Winter,Everitt et al 1981,scat sample (otolith),,77,FO,1.3,,0.0,,,Everitt  R. D.  Gearin  P. J.  Skidmore  J. S.  and DeLong  R. L. (1981). Prey items of harbor seals and California sea lions in Puget Sound  Washington. The Murrelet  83-86.,http://www.jstor.org/stable/3534248,Table 2.,
1,Harbor Seal,M\F,89,scat sample,Washington,Puget Sound (Protection island),D,1978,1979,Fall,Everitt et al 1981,scat sample (otolith),,385,FO,1.6,,0.0,,,Everitt  R. D.  Gearin  P. J.  Skidmore  J. S.  and DeLong  R. L. (1981). Prey items of harbor seals and California sea lions in Puget Sound  Washington. The Murrelet  83-86.,http://www.jstor.org/stable/3534248,Table 2.,
1,Harbor Seal,M\F,12,scat sample,Washington,Puget Sound (Protection island),D,1978,1979,spring,Everitt et al 1981,scat sample (otolith),,27,FO,0.0,,0.0,,,Everitt  R. D.  Gearin  P. J.  Skidmore  J. S.  and DeLong  R. L. (1981). Prey items of harbor seals and California sea lions in Puget Sound  Washington. The Murrelet  83-86.,http://www.jstor.org/stable/3534248,Table 2.,
1,Harbor Seal,M\F,14,scat sample,Washington,Puget Sound (Protection island),D,1978,1979,summer,Everitt et al 1981,scat sample (otolith),,11,FO,0.0,,0.0,,,Everitt  R. D.  Gearin  P. J.  Skidmore  J. S.  and DeLong  R. L. (1981). Prey items of harbor seals and California sea lions in Puget Sound  Washington. The Murrelet  83-86.,http://www.jstor.org/stable/3534248,Table 2.,
2,Steller Sea lion,18\ F,1,stomach sample,Alaska,Glacier Bay,F,1958,1958,5,Fiscus and Baines 1966,stomach sample content,,4,V,95.0,,,,salmon not identified to species,Fiscus  C. H.  and Baines  G. A. (1966). Food and feeding behavior of Steller and California sea lions.Journal of mammalogy  195-200.,http://www.jstor.org/stable/1378115,Percent salmon by volume (3 Onchorynchus sp. (species unknown) from 1 female (age 18) in May 1958),
3,Killer Whale,Adult M (28.1percent) F (44.5percent) Juv (27.4percent); n = 274 ,529,Feeding event,British Columbia,All (coast and islands),D\E,1974,2005,5--12,Ford and Ellis 2006,Scale and DNA (85percent) feeding event(15percent) from predation events ,Avg: 4.26 years\ Std.Dev: 0.76  (n=159),529,FO,96.2,,58.4,,,Ford  J. K.  and Ellis  G. M. (2006). Selective foraging by fish-eating killer whales Orcinus orca in British Columbia. Marine Ecology Progress Series  316  185-199.,http://relicensing.douglaspud.org/background/downloads/Ford_and_Ellis_2006.pdf,Table 2. Calculated from values in table. NOTE: I was unsure of how to report sample size for all of the entries in this study. The authors report sample sizes as number of kills. Subsequently  the number of prey items is the same as the sample size. Female whales consumed 54.5percent of the chinook observed eaten while males consumed 24.6percent and juveniles 21.1percent (table 8; n=274),4\5\106\107\108
4,Killer Whale,Adult M (28.1percent) F (44.5percent) Juv (27.4percent); n = 276,67,Feeding event,British Columbia,W and SE Vancouver Island,D\E,1974,2005,5--12,Ford and Ellis 2006,Scale and DNA (85percent) feeding event(15percent) from predation events ,Avg: 4.26 years\ Std.Dev: 0.76  (n=159),67,FO,91.0,,62.7,,,Ford  J. K.  and Ellis  G. M. (2006). Selective foraging by fish-eating killer whales Orcinus orca in British Columbia. Marine Ecology Progress Series  316  185-199.,http://relicensing.douglaspud.org/background/downloads/Ford_and_Ellis_2006.pdf,Samples from southern resident killer whales based on data from Table 2 (note: these specific analyses are not in the paper  i.e.  I regrouped and combined data by subregions to seperate northern resident whales from southern resident whales). All 529 feeding events involved fishes  at least 96percent of which were salmonids (Table 2)-- Could not identify 10 samples (2.5percent) to species  some may also have been salmonids. Female whales consumed 54.5percent of the chinook observed eaten while males consumed 24.6percent and juveniles 21.1percent (table 8; n=274)This paper contains additional data on predation in relation to predator age sex class  clan affiliation  sharing  prey age size  and chinook prey age distributions.,3\5\106\107\108
4,Killer Whale,Adult M (28.1percent) F (44.5percent) Juv (27.4percent); n = 275,462,Feeding event,British Columbia,North and central coast and NE Vancouver Island,E,1974,2005,5--12,Ford and Ellis 2006,Scale and DNA (85percent) feeding event(15percent) from predation events ,Avg: 4.26 years\ Std.Dev: 0.76  (n=159),462,FO,97.0,,57.8,,,Ford  J. K.  and Ellis  G. M. (2006). Selective foraging by fish-eating killer whales Orcinus orca in British Columbia. Marine Ecology Progress Series  316  185-199.,http://relicensing.douglaspud.org/background/downloads/Ford_and_Ellis_2006.pdf,Samples from Northern resident killer whales based on data from Table 2 (note: these specific analyses are not in the paper  i.e.  I regrouped and combined data by subregions to seperate northern resident whales from southern resident whales). All 529 feeding events involved fishes  at least 96percent of which were salmonids (Table 2)-- Could not identify 10 samples (2.5percent) to species  some may also have been salmonids. Female whales consumed 54.5percent of the chinook observed eaten while males consumed 24.6percent and juveniles 21.1percent (table 8; n=274). This paper contains additional data on predation in relation to predator age sex class  clan affiliation  sharing  prey age size  and chinook prey age distributions. ,3\5\106\107\108
5,Killer Whale,M\F- adult\ juv,1,Feeding event,British Columbia,All (coast and islands),D\E,1974,2005,12,Ford and Ellis 2006,Scale and DNA (85percent) feeding event(15percent) from predation events ,Avg: 4.26 years\ Std.Dev: 0.76  (n=159),1,FO,100.0,,0.0,,,Ford  J. K.  and Ellis  G. M. (2006). Selective foraging by fish-eating killer whales Orcinus orca in British Columbia. Marine Ecology Progress Series  316  185-199.,http://relicensing.douglaspud.org/background/downloads/Ford_and_Ellis_2006.pdf,Table 7. monthly salmon kills (other fish species negligible- only 7 fish could be identified over the 8 month sampling period). Sample sizes are reported as the same value as # prey items. Female whales consumed 54.5percent of the chinook observed eaten while males consumed 24.6percent and juveniles 21.1percent (table 8; n=274). Additional data on predation by whale demographics (age. sex. pod),3\4\106\107\108
5,Killer Whale,M\F- adult\ juv,2,Feeding event,British Columbia,All (coast and islands),D\E,1974,2005,11,Ford and Ellis 2006,Scale and DNA (85percent) feeding event(15percent) from predation events ,Avg: 4.26 years\ Std.Dev: 0.76  (n=159),2,FO,100.0,,50.0,,,Ford  J. K.  and Ellis  G. M. (2006). Selective foraging by fish-eating killer whales Orcinus orca in British Columbia. Marine Ecology Progress Series  316  185-199.,http://relicensing.douglaspud.org/background/downloads/Ford_and_Ellis_2006.pdf,Table 7. monthly salmon kills (other fish species negligible- only 7 fish could be identified over the 8 month sampling period). Sample sizes are reported as the same value as # prey items. Female whales consumed 54.5percent of the chinook observed eaten while males consumed 24.6percent and juveniles 21.1percent (table 8; n=274). Additional data on predation by whale demographics (age. sex. pod),3\4\106\107\108
