SP	Region_code
HS	E
HS	E
HS	E
HS	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
KW	E
SSL	E
SSL	E
SSL	E
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
CSL	A
HS	A
HS	A
HS	A
HS	A
HS	A
HS	A
HS	A
HS	A
HS	A
x	B
CSL	B
CSL	B
CSL	B
CSL	B
CSL	B
CSL	B
CSL	B
x	B
x	B
x	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
HS	B
SSL	B
SSL	B
SSL	B
SSL	B
SSL	B
SSL	B
SSL	B
SSL	B
SSL	B
SSL	B
x	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
CSL	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
HS	C
KW	C
SSL	C
SSL	C
SSL	C
SSL	C
SSL	C
SSL	C
SSL	C
SSL	C
SSL	C
SSL	C
SSL	C
SSL	C
SSL	C
SSL	C
SSL	C
SSL	C
CSL	D
CSL	D
CSL	D
CSL	D
CSL	D
CSL	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
HS	D
KW	D
KW	D
KW	D
KW	D
KW	D
SSL	D
HS	D
HS	D
HS	D
HS	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
KW	D
SSL	D
SSL	D
SSL	D
KW	E
KW	E
SSL	E
HS	F
HS	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
SSL	F
HS	G
HS	G
HS	G
HS	G
HS	G
KW	G
KW	G
KW	G
SSL	G
SSL	G
SSL	G
SSL	G
SSL	G
SSL	G
SSL	G
SSL	G
SSL	G
SSL	G
SSL	G
SSL	G
SSL	G
HS	H
SSL	H
SSL	H
SSL	H
SSL	H
SSL	H
SSL	H
SSL	H
SSL	H
